Platform Name,Manufacture,EnsEmbl,Description,Example,Bioconductor Package,Organism
human Atlas stress,Clontech,,234 genes related to stress http://www.clontech.com/atlas/genelists/index.shtml,,,Human
Sigma-Genosys oligonucleotide array,"Compugen, Sigma-Genosys",,,,,
Illumina HumanWG 6 V1,Illumina,illumina_humanwg_6_v1,"Illumina Sentrix HumanRef-8 or Human-6 version 1, ",[e.g. 0000940471],illuminaHumanv1.db,Human
Illumina HumanWG 6 V2,Illumina,illumina_humanwg_6_v2,"Illumina Sentrix HumanRef-8 or Human-6 version 2, Illumina HumanWG 6 V2",[e.g. ILMN_1748182],illuminaHumanv2.db,Human
Illumina HumanWG 6 V3,Illumina,illumina_humanwg_6_v3,"Illumina Sentrix  Human-6 version 3,  Illumina HumanWG 6 v3",[e.g. ILMN_2103362],illuminaHumanv3.db,Human
Illumina Human HT 12,Illumina,illumina_humanht_12,,[e.g. ILMN_1672925],,Human
Illumina MouseWG 6 v1,Illumina,illumina_mousewg_6_v1,Illumina MouseWG 6 v1 ,[e.g. ILMN_2483935],,Mouse
Illumina MouseWG 6 v2,Illumina,illumina_mousewg_6_v2,Illumina MouseWG 6 v2,[e.g. ILMN_1240829],,Mouse
Illumina Mouse Ref-8 v2,Illumina,,,,,
Illumina RatRef-12,Illumina,,,,,Rat
Illumina DASL BeadArray,Illumina,,,,,
IntelliGene™ HS Human Expression CHIP,IntelliGene/Takara Bio,,http://www.takara-bio.co.jp,,,Human
IntelliGene Human Cancer CHIP,IntelliGene/Takara Bio,,,,,Human
Incyte Genomics,Incyte,,,,,
labonweb_human,labonweb,,,,,Human
MWG_Human_30K_A,MWG,,,,,Human
MWG_Human_30K_B,MWG,,,,,Human
MWG_Human_30K_C,MWG,,,,,Human
OPERON_HUMANv2,Operon,,,,,Human
OPERON_HUMANv3,Operon,,,,,Human
Operon/CapitalBio Corporation 21329,Operon,,,,,
Research_Genetics,Research_Genetics,,,,,
RZPD_Human_Ensembl1.1,RZPD,,cDNA Array ,,,Human
RZPD_Human_ORF_Clones_Gateway,RZPD,,cDNA Array ,,,Human
RZPD_Human_Unigene3.1,RZPD,,cDNA Array ,,,Human
TIGR_31K_Human_Set,TIGR,,cDNA Array ,,,Human
TIGR_40K_Human_Set,TIGR,,cDNA Array ,,,Human
TIGR_40K_Human_Set_CAG_32x27,TIGR,,cDNA Array ,,,Human
UCLA_NIH_33K,UCLA,,,,,
miRBase,,mirbase_id,,miRBase ID(s) [e.g. hsa-mir-27b],,
miRNA Array,,mirbase_id,,,,
Custom cDNA Array,,,,,,
Custom Oligo Array,,,,,,
N/A,,,,,,
SeattleSNPs,,,,,,
RT-PCR,,,,,,
SAGE,,,,,,
multiple platforms,,,,,,
tissue microarray,,,,,,
RNA-Seq,,,,,,
