PMID,SigID,Primary Search Query,Additional Searches,Other Terms,,
9823299,9823299-Figure3,Lymphoma,Leukemia,,,
10445855,10445855-Figure3,Breast,,,,
10521349,10521349-Figure3,Lymphoma,Leukemia,,,
10582678,10582678-Table1,Breast,,,,
10799483,10799483-Table2a,Mycobacterium,,,,
10799483,10799483-Table2b,Mycobacterium,,,,
10799483,10799483-Table2c,Mycobacterium,,,,
10799483,10799483-Table3,Mycobacterium,,,,
10821843,10821843-Table1,Mycobacterium,,,,
11004666,11004666-Table1,Breast,,,,
11108479,11108479-SuppTable1,Colon,,,,
11108479,11108479-SuppTable2,Leukemia,,,,
11114790,11114790-Table1,Lung not cancer,,,,
11134302,11134302-SuppTable2,Lymphoma,,,,
11156382,11156382-Table4,Brain,,,,
11156382,11156382-Table2,Brain,,,,
11156382,11156382-Table3,Brain,,,,
11165872,11165872-Table2,Breast,,,,
11165872,11165872-Table1,Breast,,,,
11207349,11207349-Supp2,Breast,,,,
11207349,11207349-Supp1,Breast,,,,
11230749,11230749-Table1,Liver,,,,
11230749,11230749-Figure6,Liver,,,,
11237719,11237719-Table1b,Viral,,,,
11237719,11237719-Table1a,Viral,,,,
11282888,11282888-Table2,Lung not cancer,,,,
11282888,11282888-SuppTable4,Lung not cancer,,,,
11282888,11282888-Table3,Lung not cancer,,,,
11282888,11282888-SuppTable2,Lung not cancer,,,,
11282888,11282888-SuppTable3,Lung not cancer,,,,
11289099,11289099-Table1,Head and Neck Cancer,,,,
11289099,11289099-Table2,Head and Neck Cancer,,,,
11298116,11298116-Table1,Lymphoma,,,,
11298554,11298554-Table1,Lymphoma,,,,
11325847,11325847-Table3,Endometrial,,,,
11325847,11325847-Table2,Endometrial,,,,
11375906,11375906-table1,Prostate,,,,
11406539,11406539-table4,Prostate,,,,
11423116,11423116-Table1,Colon,,,,
11423996,11423996-table1,Lung,Leukemia,,,
11423996,,Lung,Leukemia,,,
11432721,11432721-Table3,Immune,,,,
11493696,11493696-TableS2,Kidney,,,,
11493696,11493696-TableS3,Kidney,,,,
11522623,11522623-Table1,Colon,,,,
11553815,11553815-Figure1b,Breast,,,,
11559565,11559565-Table2,Brain,,,,
11559565,11559565-Table3,Brain,,,,
11562467,11562467-Table3,Breast,,,,
11568973,11568973-Table1,Duplicates,,,,
11573962,11573962-Table1,Viral,,,,
11573962,11573962-Table2,Viral,,,,
11573962,11573962-Table3,Viral,,,,
11573962,11573962-Table4,Viral,,,,
11597333,11597333-SuppTable6,Lymphoma,,,,
11597333,11597333-SuppTable5,Lymphoma,,,,
11597333,11597333-SuppTable9,Lymphoma,,,,
11597333,11597333-SuppTable8,Lymphoma,,,,
11597333,11597333-SuppTable7,Lymphoma,,,,
11606393,11606393-Table1,Ovarian,,,,
11678601,11678601-Table5,Lung,,,,
