PMID,SigID,Primary Search Query,Additional Searches,Other Terms,,
11678601,11678601-Table4,Lung,,,,
11678601,11678601-Table6,Lung,,,,
11678601,11678601-Table2,Lung,,,,
11678601,11678601-Table1,Lung,,,,
11678601,11678601-Table3,Lung,,,,
11694447,11694447-Figure4a,Lung not cancer,,,,
11694447,11694447-Table1,Lung not cancer,,,,
11694447,11694447-Figure4b,Lung not cancer,,,,
11694447,11694447-Figure2,Lung not cancer,,,,
11707567,11707567-SuppTable1,Lung,,,,
11731795,11731795-SuppTable1,Lymphoma,"Leukemia, Stem Cell",,,
11731795,11731795-SuppTable2,Lymphoma,"Leukemia, Stem Cell",,,
11733577,11733577-Figure2,Leukemia,,,,
11733578,11733578-Figure4,Leukemia,,,,
11733578,11733578-Figure1,Leukemia,,,,
11733578,11733578-Figure5,Leukemia,,,,
11739862,11739862-Table4,Chemoprevention,"Kidney, Liver",,,
11739862,11739862-Table3,Chemoprevention,"Kidney, Liver",,,
11741749,11741749-Table4,Endometrial,,,,
11751374,11751374-Figure3,Leukemia,,,,
11753649,11753649-Table2,Breast,,,,
11753649,11753649-Table1,Breast,,,,
11757704,11757704-Table1a,Lymphoma,Leukemia,,,
11757704,11757704-Table1b,Lymphoma,Leukemia,,,
11779836,11779836-Table2,Ovarian,,,,
11786402,11786402-Table3,Lung not cancer,,,,
11823860,11823860-Figure2,Breast,,,,
11823860,11823860-SuppTable2,Breast,,,,
11823860,11823860-SuppTable3,Breast,,,,
11823860,11823860-SuppTable4,Breast,,,,
11834723,11834723-Table1a,Viral,,,,
11834723,11834723-Table1b,Viral,,,,
11861292,11861292-Table6,Bone Marrow,,,,
11861292,11861292-Table2,Bone Marrow,,,,
11861292,11861292-Table4,Bone Marrow,,,,
11861292,11861292-Table5,Bone Marrow,,,,
11861364,11861364-Table1b,Bladder,,,,
11861364,11861364-Table2b,Bladder,,,,
11861364,11861364-Table1a,Bladder,,,,
11861364,11861364-Table2a,Bladder,,,,
11884566,11884566-Table1,Lymphoma,,,,
11884566,11884566-Table5,Lymphoma,,,,
11884566,11884566-Table2,Lymphoma,,,,
11884566,11884566-Table3,Lymphoma,,,,
11884566,11884566-Table4,Lymphoma,,,,
11884566,11884566-Table6,Lymphoma,,,,
11895757,11895757-Table3,Lymphoma,,,,
11896569,11896569-table2,Lung,,,,
11906190,11906190-Table3b,Colon,,,,
11906190,11906190-Table3a-1,Colon,,,,
11906190,11906190-Table3a-2,Colon,,,,
11906190,11906190-Table2b-1,Colon,,,,
11906190,11906190-Table2a-1,Colon,,,,
11906190,11906190-Table1b-1,Colon,,,,
11906190,11906190-Table1b-2,Colon,,,,
11906190,11906190-Table2a-2,Colon,,,,
11906190,11906190-Table2b-2,Colon,,,,
11906190,11906190-Table1a-1,Colon,,,,
11906190,11906190-Table1a-2,Colon,,,,
11920564,11920564-Table2,Lymphoma,Viral,,,
11920564,11920564-Table3,Lymphoma,Viral,,,
11920564,11920564-Table5b,Lymphoma,Viral,,,
11920564,11920564-Table5a,Lymphoma,Viral,,,
11920564,11920564-Table4,Lymphoma,Viral,,,
11929829,,Brain,,,,
11965276,11965276-Table1,Sarcoma,,,,
11965536,11965536-Table2,Head and Neck Cancer,,,,
11965536,11965536-Table3,Head and Neck Cancer,,,,
11973655,11973655-Table2a,Viral,,,,
11973655,11973655-Table5,Viral,,,,
11973655,11973655-Table4,Viral,,,,
11973655,11973655-Table2b,Viral,,,,
11973655,11973655-Table3,Viral,,,,
11982591,11982591-Table1,Immune,,,,
11983058,11983058-Table1,Leukemia,,,,
11983058,11983058-Table2,Leukemia,,,,
11988840,11988840-Table1,Breast,,,,
12011421,12011421-Figure3,Lymphoma,Leukemia,,,
12033786,12033786-Table1,Viral,,,,
12033786,12033786-Table2,Viral,,,,
12036939,12036939-Table3,Stem Cell,,,,
12036940,12036940-Table3,Lung,,,,
12036940,12036940-Table4,Lung,,,,
12036940,12036940-Table2,Lung,,,,
12037678,12037678-Table3,Brain,,,,
12037678,12037678-Table2,Brain,,,,
12041670,12041670-Table2,Leukemia,,,,
12041670,12041670-Table3,Leukemia,,,,
12067990,12067990-Table3,Ovarian,,,,
12068005,12068005-SuppTable1A,Leukemia,,,,
12068005,12068005-SuppTable1B,Leukemia,,,,
12069692,12069692-Table1,Mycobacterium,,,,
12069692,12069692-Table2,Mycobacterium,,,,
12069692,12069692-Table3,Mycobacterium,,,,
12075054,12075054-Table2,Lymphoma,Leukemia,,,
12077300,12077300-SuppTable2,Lymphoma,,,,
12082018,12082018-table1,Prostate,,,,
12082545,12082545-Table2a,Uterine,,,,
12082545,12082545-Table2b,Uterine,,,,
12086872,12086872-Table12b,Leukemia,Lymphoma,,,
12086872,12086872-Table12f,Leukemia,Lymphoma,,,
12086872,12086872-Table12g,Leukemia,Lymphoma,,,
12086872,12086872-Table12e,Leukemia,Lymphoma,,,
12086872,12086872-Table11a,Leukemia,Lymphoma,,,
12086872,12086872-Table11b,Leukemia,Lymphoma,,,
12086872,12086872-Table11c,Leukemia,Lymphoma,,,
12086872,12086872-Table11d,Leukemia,Lymphoma,,,
12086872,12086872-Table12a,Leukemia,Lymphoma,,,
12086872,12086872-Table12d,Leukemia,Lymphoma,,,
12086872,12086872-Table12c,Leukemia,Lymphoma,,,
12096084,12096084-Figure3-1,Breast,,,,
12096084,12096084-Figure3-2,Breast,,,,
12097256,12097256-Table2,Skin,,,,
12098359,12098359-Table1,Lung not cancer,,,,
12098359,12098359-Table2,Lung not cancer,,,,
12115487,12115487-table2,Prostate,,,,
12115547,12115547-Table1,Viral,,,,
12115547,12115547-Table2,Viral,,,,
12115547,12115547-Table3,Viral,,,,
12115547,12115547-Table4,Viral,,,,
12130493,12130493-Table6,Stem Cell,,,,
12130493,12130493-Table7,Stem Cell,,,,
12130493,12130493-Table8,Stem Cell,,,,
12136251,12136251-table3,Liver,Kidney,,,
12136251,12136251-table5,Liver,Kidney,,,
12136251,12136251-table4,Liver,Kidney,,,
12140755,,Breast,,,,
12154041,,Breast,Brain,,,
12161300,12161300-Table3,BloodPressue,,,,
12163391,12163391-Table2,Brain,,,,
12163391,12163391-Table1,Brain,,,,
12173052,12173052-table1,Lung,,,,
12173053,12173053-table1,Lung,,,,
12173053,,Lung,,,,
12175522,12175522-table1,Prostate,,,,
12176889,12176889-Table1,Lung,,,,
12176896,12176896-Table1,Stem Cell,,,,
12200784,12200784-Table2,Mycobacterium,,,,
12200784,12200784-Table3,Mycobacterium,,,,
12200784,12200784-Table2+3_Up,Mycobacterium,,,,
12200784,12200784-Table2+3_Down,Mycobacterium,,,,
12213285,12213285-table2,Prostate,,,,
12213815,12213815-Table1,Lung,,,,
12216074,12216074-Table2,Bladder,Stem Cell,,,
12216074,12216074-Table3,Bladder,Stem Cell,,,
12359770,,Breast,,,,
12371964,12371964-Table1,Immune,,,,
12384544,12384544-Table1,Testicular,,,,
12384544,12384544-Table2,Testicular,,,,
12384550,12384550-Table3,Skin,,,,
12393420,12393420-Table1,Lymphoma,Leukemia,,,
12393520,12393520-Table1,Bone Marrow,,,,
12393520,12393520-Table2,Bone Marrow,,,,
12393520,12393520-Table3,Bone Marrow,,,,
12393520,12393520-Table4,Bone Marrow,,,,
12393520,12393520-Table5,Bone Marrow,,,,
12393520,12393520-Table6,Bone Marrow,,,,
12406872,12406872-Table4,Lymphoma,,,,
12411319,12411319-Table3,Bone Marrow,,,,
12411319,12411319-Table4,Bone Marrow,,,,
12411319,12411319-Table2,Bone Marrow,,,,
12414654,12414654-Table1,Breast,,,,
12414654,12414654-Table2,Breast,,,,
12429807,12429807-Table2,Viral,Lymphoma,,,
12429807,12429807-Table3,Viral,Lymphoma,,,
12433680,12433680-Table2,Stem Cell,,,,
12438227,12438227-Table1,Bladder,,,,
12446012,12446012-Table2,Immune,,,,
12446012,12446012-Table1,Immune,,,,
12446012,12446012-Table4,Immune,,,,
12446012,12446012-Table3,Immune,,,,
12450793,12450793-Figure1 and figure S2?,,,,,
12456497,12456497-Table3,Leukemia,,,,
12456497,12456497-Table4,Leukemia,,,,
12460921,12460921-Table1,Intestine,,,,
12460921,12460921-Table2,Intestine,,,,
12471243,12471243-TableS2,ProteinKinases,,,,
12472567,12472567-Table4,Lymphoma,,,,
12472567,12472567-Table5,Lymphoma,,,,
12472567,12472567-Table3,Lymphoma,,,,
12473593,12473593-table2,Lung,,,,
12490681,,Breast,,,,
12495447,12495447-Table2,Breast,,,,
12495447,12495447-Table1,Breast,,,,
12505168,12505168-Table1,Brain,,,,
12508342,12508342-Table1B,Esophagus,,,,
12508342,12508342-Table1A,Esophagus,,,,
12508342,12508342-Table2,Esophagus,,,,
12509443,12509443-Table1,ProteinKinases,,,,
12509443,12509443-Table2,ProteinKinases,,,,
12517777,12517777-Table3,Prostate,,,,
12531789,12531789-TableS1a,Viral,Lymphoma,,,
12531789,12531789-TableS1b,Viral,Lymphoma,,,
12538167,12538167-Figure2A,Breast,,,,
12550771,12550771-table2,Prostate,,,,
12550771,12550771-table3,Prostate,,,,
12560219,,Lymphoma,,,,
12571852,12571852-table3b,Stem Cell,,,,
12571852,12571852-table3a,Stem Cell,,,,
12571852,12571852-table3c,Stem Cell,,,,
12584564,12584564-Table1,Kidney,,,,
12586635,12586635-Figure1aa,Leukemia,,,,
12586635,12586635-Figure1ab,Leukemia,,,,
12586635,12586635-Figure1ba,Leukemia,,,,
12586635,12586635-Figure1cb,Leukemia,,,,
12586635,12586635-Figure1ca,Leukemia,,,,
12586635,12586635-Figure1bb,Leukemia,,,,
12588891,12588891-Figure2,Lymphoma,Viral,,,
12588891,12588891-Figure3,Lymphoma,Viral,,,
12589037,12589037-Table2,Liver,,,,
12594241,12594241-Table2,Lymphoma,,,,
12594241,12594241-Table5,Lymphoma,,,,
12595313,12595313-SuppFigure4,Leukemia,,,,
12598313,12598313-Table4,Sarcoma,,,,
12602904,12602904-Table1,Breast,,,,
12606954,12606954-table1b,Prostate,,,,
12606954,12606954-table2,Prostate,,,,
12606954,12606954-table1a,Prostate,,,,
12606954,12606954-table1c,Prostate,,,,
12610208,12610208-Figure1-1,Breast,,,,
12610208,12610208-Figure1-2,Breast,,,,
12618198,12618198-Table1,Mouth,,,,
12618900,12618900-table1,Liver,Kidney,,,
12623842,12623842-Table2,Bone Marrow,,,,
12623842,12623842-Table1,Bone Marrow,,,,
12626434,12626434-Table2,,,,,
12629520,12629520-Table2,Ovarian,,,,
12631704,12631704-table1,Stem Cell,,,,
12632483,12632483-Table1,Esophagus,,,,
12640676,12640676-Table5,Skin,,,,
12640676,12640676-Table4,Skin,,,,
12640676,12640676-Table3,Skin,,,,
12643756,12643756-table2,Lung,,,,
12644218,12644218-Table1,Bladder,,,,
12645635,12645635-Table1,Liver,,,,
12648972,12648972-Panel3,Liver,,,,
12649203,12649203-Table1b,Lung,,,,
12649203,12649203-Table1a,Lung,,,,
12670911,12670911-Table3,Brain,,,,
12679940,12679940-Table1,Pancreas,,,,
12679940,12679940-Table2,Pancreas,,,,
12687021,12687021-Table2,Lung,,,,
12687021,12687021-Figure1,Lung,,,,
12689942,12689942-Table1,Lymphoma,,,,
12706106,12706106-Table1,Esophagus,,,,
12707256,12707256-Table1_transgenic,Lung not cancer,,,,
12707256,12707256-Table1_wild_type,Lung not cancer,,,,
12710942,12710942-Table1,Breast,,,,
12713671,,Breast,,,,
12714683,12714683-Table5,Breast,,,,
12714683,12714683-Table6,Breast,,,,
12714683,12714683-Table7,Breast,,,,
12717400,12717400-Table2,Viral,,,,
12717400,12717400-Table1,Viral,,,,
12730682,12730682-Table1,Breast,,,,
12734205,12734205-TableS4,Ovarian,,,,
12734205,12734205-TableS6,Ovarian,,,,
12734205,12734205-TableS5,Ovarian,,,,
12734205,12734205-TableS1,Ovarian,,,,
12734205,12734205-TableS2,Ovarian,,,,
12734205,12734205-Table1,Ovarian,,,,
12738660,12738660-TableS2,Leukemia,,,,
12738660,12738660-TableS3,Leukemia,,,,
12738660,12738660-Table2,Leukemia,,,,
12743306,12743306-Table1,Viral,,,,
12743306,12743306-Table2,Viral,,,,
12743306,12743306-Table3,Viral,,,,
12747878,12747878-Table2,Breast,,,,
12747878,12747878-Table3,Breast,,,,
12748057,12748057-Table1a,TB,,,,
12748057,12748057-Table1b,TB,,,,
12748057,12748057-Table1c,TB,,,,
12750996,,Colon,,,,
12764384,12764384-Table2,Leukemia,,,,
12767519,12767519-Table1,Viral,,,,
12771951,12771951-Table1,Skin,,,,
12771952,12771952-Table2,Liver,,,,
12777628,12777628-Table1,Kidney,,,,
12782081,12782081-Table1,Lung not cancer,,,,
12782583,12782583-Table3,Colon,,,,
12782592,12782592-Table1,Thyroid,,,,
12782598,12782598-Table1,Ovarian,,,,
12782714,12782714-Figure2,Lymphoma,,,,
12782714,12782714-TableS3a,Lymphoma,,,,
12782714,12782714-TableS3b,Lymphoma,,,,
12782714,12782714-TableS3c,Lymphoma,,,,
12789273,12789273-SuppTable2,Ovarian,,,,
12789273,12789273-SuppTable1,Ovarian,,,,
12791645,12791645-Table5,Bone Marrow,,,,
12791645,12791645-Table4,Bone Marrow,,,,
12791645,12791645-Table1,Bone Marrow,,,,
12791645,12791645-Table2,Bone Marrow,,,,
12791645,12791645-Table3,Bone Marrow,,,,
12819073,12819073-Table2,Mycobacterium,,,,
12819073,12819073-Table3,Mycobacterium,,,,
12821946,12821946-Table6,Immune,,,,
12821946,12821946-Table5,In Vitro,,,,
12829800,12829800-IntrinsicList,Breast,,,,
12831403,12831403-Table1,Leukemia,,,,
12845669,12845669-Table2,Esophagus,,,,
12864814,12864814-Table1,Mycobacterium,,,,
12869505,12869505-Table2,Stem Cell,,,,
12869505,12869505-Table3,Stem Cell,,,,
12873975,12873975-Table2a,Intestine,,,,
12873975,12873975-Table2b,Intestine,,,,
12873988,12873988-Table1,Leukemia,,,,
12874026,12874026-Table2,Prostate,,,,
12874028,12874028-Table1,Esophagus,,,,
12874079,12874079-Table3d,Head and Neck Cancer,,,,
12874079,12874079-Table3e,Head and Neck Cancer,,,,
12874079,12874079-Table3b,Head and Neck Cancer,,,,
12874079,12874079-Table3f,Head and Neck Cancer,,,,
12874079,12874079-Table3c,Head and Neck Cancer,,,,
12874079,12874079-Table3a,Head and Neck Cancer,,,,
12890387,12890387-Table1,Leukemia,,,,
12890387,12890387-Table2,Leukemia,,,,
12893766,12893766-Table1,Leukemia,,,,
12893766,12893766-Table2,Leukemia,,,,
12894235,12894235-Table2,Brain,,,,
12900505,12900505-Figure2b,Lymphoma,,,,
12900505,12900505-Figure2a,Lymphoma,,,,
12900505,12900505-Figure3,Lymphoma,,,,
12900513,12900513-Table4,Uterine,,,,
12901791,12901791-Table2,Colon,,,,
12901791,12901791-Table3,Colon,,,,
12902984,,Breast,,,,
12907009,12907009-SuppTable,Breast,,,,
12910413,12910413-Table1,Trypanosome,,,,
12910413,12910413-Table2,Trypanosome,,,,
12917207,12917207-TableS3,Colon,,,,
12917207,12917207-TableS4,Colon,,,,
12917207,12917207-Table1,Colon,,,,
12917207,12917207-TableS2,Colon,,,,
12917207,12917207-TableS1,Colon,,,,
12917207,12917207-TableS5,Colon,,,,
12917485,12917485-Table7,Breast,,,,
12917485,12917485-Table9,Breast,,,,
12917485,12917485-Table6,Breast,,,,
12917485,12917485-Table8,Breast,,,,
12919955,12919955-table1,Lung,,,,
12925741,12925741-Figure13,Lymphoma,Viral,,,
12925741,12925741-Figure8,Lymphoma,Viral,,,
12925741,12925741-Figure11,Lymphoma,Viral,,,
12925741,12925741-Figure12,Lymphoma,Viral,,,
12925741,12925741-Figure10,Lymphoma,Viral,,,
12925741,12925741-Figure3,Lymphoma,Viral,,,
12925741,12925741-Figure9,Lymphoma,Viral,,,
12933571,12933571-Table3,Lymphoma,,,,
12933571,12933571-Table2,Lymphoma,,,,
12935928,12935928-Table3,Liver,,,,
12935928,12935928-Table2,Liver,,,,
12941627,12941627-table1b,Stem Cell,,,,
12941627,12941627-table1a,Stem Cell,,,,
12941828,12941828-Table4,Pancreas,,,,
12941828,12941828-Table3,Pancreas,,,,
12941828,12941828-Table5,Pancreas,,,,
12941840,12941840-Table1,Lung,,,,
12944470,12944470-Table2,Mycobacterium,,,,
12944470,12944470-Table3,Mycobacterium,,,,
12944470,12944470-Table4,Mycobacterium,,,,
12946996,12946996-Table2,Lymphoma,,,,
12946996,12946996-Table1,Lymphoma,,,,
12946996,12946996-Table4,Lymphoma,,,,
12946996,12946996-Table3,Lymphoma,,,,
12947006,12947006-Table1,Leukemia,,,,
12947006,12947006-Table2,Leukemia,,,,
12969976,12969976-Table2,Multiple Myeloma,,,,
12969976,12969976-Table1,Multiple Myeloma,,,,
12970448,12970448-Table1a,Viral,,,,
12970448,12970448-Table1b,Viral,,,,
12970791,12970791-Table2a,Lymphoma,Leukemia,,,
12970791,12970791-Table2b,Lymphoma,Leukemia,,,
12970791,12970791-Table1,Lymphoma,Leukemia,,,
12972399,12972399-Table2,Lung not cancer,,,,
12972399,12972399-Table1,Lung not cancer,,,,
14500366,14500366-table1,Lung,Brain,,,
14504202,14504202-table1,Lung,,,,
14508521,14508521-Table1,Breast,,,,
14508521,14508521-Table2,Breast,,,,
14514645,14514645-Figure6,Lung not cancer,,,,
14517214,14517214-Table2,Leukemia,Stem Cell,,,
14517214,14517214-Table1,Leukemia,Stem Cell,,,
14522886,14522886-Table1,Ovarian,Uterus,,,
14522937,14522937-Table1,Kidney,,,,
14525759,14525759-Table2,Lung,,,,
14555994,14555994-Table1,Kidney,,,,
14555994,14555994-Table2,Kidney,,,,
14555994,14555994-Table3,Kidney,,,,
14556665,14556665-Table1,Lymphoma,,,,
14556665,14556665-Table2,Lymphoma,,,,
14556934,14556934-Table1,Ovarian,,,,
14562049,14562049-Table2,Stem Cell,,,,
14576825,14576825-Table1,Sarcoma,,,,
14581339,14581339-SuppTable6,Lung,,,,
14583454,14583454-Table3,Brain,,,,
14583454,14583454-TableS1,Brain,,,,
14583454,14583454-TableS2,Brain,,,,
14583454,14583454-Table4,Brain,,,,
14585372,14585372-Table2,Leukemia,,,,
14585372,14585372-Table1,Leukemia,,,,
14627989,14627989-Table2,Lung,,,,
14633610,14633610-Table3,Sarcoma,,,,
14633610,14633610-Table2,Sarcoma,,,,
14633719,14633719-Table2,Bone,,,,
14633719,14633719-Table3,Bone,,,,
14656973,14656973-Table1,In Vitro,,,,
14664712,14664712-Table4,Pancreas,,,,
14664712,14664712-Table3,Pancreas,,,,
14666028,14666028-Table2,General,,cardiac tissue,upregulated,
14666028,14666028-Table3,General,,cardiac tissue,downregulated,
14666028,14666028-Table4,General,,skeletal muscle tissue,upregulated,
14666028,14666028-Table5,General,,skeletal muscle tissue,downregulated,
14673169,14673169-TableA1-2,Breast,,,,
14673169,14673169-TableA1-1,Breast,,,,
14673991,14673991-Table2,General,,cartilage,human chondrocytes,differentially expressed
14673991,14673991-Table3,General,,cartilage,human chondrocytes,
14675196,14675196-Table2,General,,epidermis,Response to Tape Stripping,
14675196,14675196-Table3,General,,epidermis,Response to Vaseline,
14675196,14675196-Table4,General,,epidermis,Response to solar-simulated radiaton,
14675196,14675196-Table5,General,,epidermis,,
14675778,14675778-Table2,Viral,,,,
14675778,14675778-Table3,Viral,,,,
14676807,14676807-Figure3,Sarcoma,,,,
14676807,14676807-Figure4,Sarcoma,,,,
14676807,14676807-Table2,Sarcoma,,,,
14676830,14676830-Table5,Head and Neck Cancer,,,,
14676830,14676830-Table6,Head and Neck Cancer,,,,
14676830,14676830-Table3,Head and Neck Cancer,,,,
14676830,14676830-Table4,Head and Neck Cancer,,,,
14676830,14676830-Table2,Head and Neck Cancer,,,,
14678979,14678979-figure3a,Lymphoma,,,,
14678979,14678979-figure3b,Lymphoma,,,,
14678979,14678979-Table2,Lymphoma,,,,
14678982,14678982-Table3,Stomach,,,,
14678982,14678982-Table4,Stomach,,,,
14683528,14683528-Table2b,Mouth,,,,
14683528,14683528-Table2a,Mouth,,,,
14684422,14684422-TableS1,Leukemia,Lymphoma,,,
14695196,14695196-Table4,Colon,,,,
14695196,14695196-Table2,Colon,,,,
14695345,14695345-Table1a,Viral,,,,
14695345,14695345-Table1b,Viral,,,,
14710232,14710232-Table2,General,,gastric adenoma,grade,
14715628,14715628-Table1,General,,HUVECs,upregulated,
14715628,14715628-Table2,General,,HUVECs,downregulated,
14715628,14715628-TableS1a,General,,HUVECs,upregulated ,
14715628,14715628-TableS1b,General,,HUVECs,genes turned on by TNFalpha,
14715628,14715628-TableS2a,General,,HUVECs,upregulated,IKK2/NF-kappaB -dependent genes
14715628,14715628-TableS2b,General,,HUVECs,genes turned on by TNFalpha,IKK2/NF-kappaB -dependent genes
14715628,14715628-TableS3a,General,,HUVECs,upregulated,p38 MAP kinase-dependent
14715628,14715628-TableS3b,General,,HUVECs,genes turned on by TNFalpha,p38 MAP kinase-dependent
14715628,14715628-TableS4a,General,,HUVECs,downregulated,
14715628,14715628-TableS4b,General,,HUVECs,genes turned off by TNFalpha,
14717912,14717912-Table2,General,,kidney,leukocytes,upregulated
14722241,14722241-Table1b,Lung,,,,
14722241,14722241-Table1a,Lung,,,,
14722648,14722648-Table1,General,,,,
14722648,14722648-Table2,General,,,,
14722648,14722648-Table3,General,,,,
14722648,14722648-Table4,General,,,,
14722648,14722648-Table5,General,,,,
14722648,14722648-Table6,General,,,,
14722648,14722648-Table7,General,,,,
14722648,14722648-Table2S,General,,,,
14722648,14722648-Table3S,General,,,,
14722648,14722648-Table4S,General,,,,
14724567,14724567-Table1,Prostate,,,,
14728809,14728809-Table3b,Liver,,,,
14728809,14728809-Table3a,Liver,,,,
14730609,14730609-Table2,General,,,,
14735469,14735469-Table2,Breast,,,,
14737112,14737112-Table2,Breast,,,,
14737112,14737112-Table1,Breast,,,,
14737219,14737219-CSRgenes,Breast,,,,
14739163,14739163-Table1,General,,,,
14742539,14742539-Figure7B,Mycobacterium,,,,
14744790,14744790-Table1b,Brain,,,,
14744790,14744790-Table1a,Brain,,,,
14749371,14749371-Table2,Viral,,,,
14749371,14749371-Table1,Viral,,,,
14749762,14749762-Table2,Leukemia,,,,
14750170,14750170-Table1,Intestine,,,,
14750170,14750170-Table2,Intestine,,,,
14755241,14755241-Table3a,Skin,Lung,,,
14755241,14755241-Table2b,Skin,Lung,,,
14755241,14755241-Table2a,Skin,Lung,,,
14755241,14755241-Table3b,Skin,Lung,,,
14757176,14757176-Table2,General,,,,
14760100,14760100-Table1,Bone,,,,
14761935,14761935-Table1,General,,,,
14761935,14761935-Table3,General,,,,
14766275,14766275-Fig.2,Uterine,,,,
14767469,14767469-Table3,Kidney,,,,
14767469,14767469-Table2,Kidney,,,,
14767473,14767473-Table3,Pancreas,,,,
14767473,14767473-SuppTable1,Pancreas,,,,
14767473,14767473-SuppTable2,Pancreas,,,,
14767473,14767473-Table1,Pancreas,,,,
14767473,14767473-Table2,Pancreas,,,,
14767473,14767473-Table4,Pancreas,,,,
14768006,14768006-SuppTable4,Breast,"Liver, Lung",,,
14768006,14768006-SuppTable5,Breast,"Liver, Lung",,,
14768006,14768006-Table2,Breast,"Liver, Lung",,,
14871800,14871800-SuppTable2,Ovarian,,,,
14871811,14871811-Table3,Breast,Kidney,,,
14871960,14871960-Table3,Mesothelioma,,,,
14871973,14871973-Table2,Breast,,,,
14966907,14966907-table3,Liver,"Brain, Kidney",,,
14969821,14969821-Table2,Mouth,,,,
14969821,14969821-Table3,Mouth,,,,
14973074,14973074-Table2,Stomach,,,,
14973550,14973550-SuppTable2,Colon,,,,
14973550,14973550-SuppTable1,Colon,,,,
14977634,14977634-Figure8b,Viral,,,,
14982484,14982484-Table3,Intestine,,,,
14982971,14982971-Table3,General,,,,
14982971,14982971-Table4,General,,,,
14982971,14982971-Table5,General,,,,
14982971,14982971-Table6,General,,,,
14982971,14982971-Table7,General,,,,
14982971,14982971-Table8,General,,,,
14985456,,Breast,,,,
14985855,14985855-SuppTable1,General,,,,
14988265,14988265-TableS1,General,,,,
14988265,14988265-TableS2,General,,,,
14988265,14988265-TableS3a,General,,,,
14988265,14988265-TableS3b,General,,,,
14988408,14988408-Table2,General,,,,
14990357,14990357-Table2,Lung not cancer,,,,
14990357,14990357-Table3,Lung not cancer,,,,
14991460,14991460-Table2,General,,,,
14993899,14993899-TableS1,ConsensusCancerGenes,,,,
14996721,14996721-Table1a,Kidney,,,,
14996721,14996721-Table1b,Kidney,,,,
14996724,14996724-Table1Up,Ovarian,Brain,,,
14996724,14996724-Table1Down,Ovarian,Brain,,,
14997935,14997935-Table1,Brain,,,,
15009677,15009677-Table2,General,,,,
15013775,15013775-Table2,Leukemia,,,,
15013775,15013775-Table1,Leukemia,,,,
15016321,15016321-Table3,Lung,,,,
15023835,15023835-Figure3a,Uterine,,,,
15023835,15023835-Figure3b,Uterine,,,,
15026349,15026349-Table3b,Lung,,,,
15026349,15026349-Table1a,Lung,,,,
15026349,15026349-Table1b,Lung,,,,
15026349,15026349-Table1c,Lung,,,,
